NAME                                       DISPLAY NAME  DEFAULT CHANNEL
3scale-community-operator                                threescale-2.13
ack-acm-controller                                       alpha
ack-acmpca-controller                                    alpha
ack-apigateway-controller                                alpha
ack-apigatewayv2-controller                              alpha
ack-applicationautoscaling-controller                    alpha
ack-athena-controller                                    alpha
ack-autoscaling-controller                               alpha
ack-backup-controller                                    alpha
ack-bedrock-controller                                   alpha
ack-bedrockagent-controller                              alpha
ack-bedrockagentcorecontrol-controller                   alpha
ack-cloudfront-controller                                alpha
ack-cloudtrail-controller                                alpha
ack-cloudwatch-controller                                alpha
ack-cloudwatchlogs-controller                            alpha
ack-codeartifact-controller                              alpha
ack-cognitoidentityprovider-controller                   alpha
ack-documentdb-controller                                alpha
ack-dsql-controller                                      alpha
ack-dynamodb-controller                                  alpha
ack-ec2-controller                                       alpha
ack-ecr-controller                                       alpha
ack-ecrpublic-controller                                 alpha
ack-ecs-controller                                       alpha
ack-efs-controller                                       alpha
ack-eks-controller                                       alpha
ack-elasticache-controller                               alpha
ack-elbv2-controller                                     alpha
ack-emrcontainers-controller                             alpha
ack-emrserverless-controller                             alpha
ack-eventbridge-controller                               alpha
ack-firehose-controller                                  alpha
ack-glue-controller                                      alpha
ack-iam-controller                                       alpha
ack-kafka-controller                                     alpha
ack-keyspaces-controller                                 alpha
ack-kinesis-controller                                   alpha
ack-kms-controller                                       alpha
ack-lambda-controller                                    alpha
ack-memorydb-controller                                  alpha
ack-mq-controller                                        alpha
ack-mwaa-controller                                      alpha
ack-networkfirewall-controller                           alpha
ack-opensearchserverless-controller                      alpha
ack-opensearchservice-controller                         alpha
ack-organizations-controller                             alpha
ack-pipes-controller                                     alpha
ack-prometheusservice-controller                         alpha
ack-quicksight-controller                                alpha
ack-ram-controller                                       alpha
ack-rds-controller                                       alpha
ack-recyclebin-controller                                alpha
ack-route53-controller                                   alpha
ack-route53resolver-controller                           alpha
ack-s3-controller                                        alpha
ack-s3control-controller                                 alpha
ack-s3files-controller                                   alpha
ack-sagemaker-controller                                 alpha
ack-secretsmanager-controller                            alpha
ack-ses-controller                                       alpha
ack-sfn-controller                                       alpha
ack-sns-controller                                       alpha
ack-sqs-controller                                       alpha
ack-ssm-controller                                       alpha
ack-wafv2-controller                                     alpha
aerospike-kubernetes-operator                            stable
airflow-helm-operator                                    alpha
alloydb-omni-operator                                    stable
alvearie-imaging-ingestion                               alpha
analytics-operator                                       alpha
annotationlab                                            alpha
apicast-community-operator                               stable
apicurio-api-controller                                  0.x
apicurio-registry                                        2.x
apicurio-registry-3                                      3.2.x
apicurito                                                latest
apimatic-kubernetes-operator                             alpha
application-services-metering-operator                   alpha
aqua                                                     2022.4.0
argocd-operator                                          alpha
arkmq-org-broker-operator                                stable
assisted-service-operator                                alpha
attune                                                   stable
authorino-operator                                       stable
automotive-dev-operator                                  alpha
automotive-infra                                         alpha
aws-efs-operator                                         stable
aws-neuron-operator                                      Fast
awss3-operator-registry                                  alpha
azure-service-operator                                   stable
beegfs-csi-driver-operator                               stable
bpfman-operator                                          alpha
camel-k                                                  stable-v2
camel-karavan-operator                                   alpha
camel-monitor-operator                                   stable-v0
cass-operator-community                                  stable
cat-facts-operator                                       stable
cert-manager                                             stable
cert-utils-operator                                      alpha
clickhouse                                               latest
cluster-aas-operator                                     alpha
cluster-impairment-operator                              beta
cluster-manager                                          stable
clusterpulse                                             fast-v1
